Time, Lat, Lon, Alt, SSID1, MAC1, Frequncy1, Signal1, SSID2, MAC2, Frequncy2, Signal2, SSID3, MAC3, Frequncy3, Signal3, SSID4, MAC4, Frequncy4, Signal4, SSID5, MAC5, Frequncy5, Signal5, SSID6, MAC6, Frequncy6, Signal6, SSID7, MAC7, Frequncy7, Signal7, SSID8, MAC8, Frequncy8, Signal8, SSID9, MAC9, Frequncy9, Signal9, SSID10, MAC10, Frequncy10, Signal10
2017-10-27 16:13:51   ,34.81320794   ,32.16876665   ,37.0   ,DIRECT-35-HP DeskJet 3830 series,98:e7:f4:c6:4b:37,6,-94,tslila,c4:3d:c7:5a:79:1c,11,-89,Lubelsky,c0:4a:00:ba:e8:f6,13,-88,NGOGA,30:b5:c2:fe:aa:56,6,-87,osnatg370,c0:ac:54:f5:7b:a7,11,-86,BezeqFree,6a:12:f5:f9:5e:71,8,-85,Robert1,3c:1e:04:03:7f:17,1,-82,Howmanyistwo,74:da:38:50:77:f2,2,-81,OP2,a0:63:91:69:f6:af,1,-80
2017-10-27 16:13:53   ,34.81321225   ,32.16876425   ,36.0   ,BezeqFree,6a:12:f5:f9:5e:71,8,-79
2017-10-27 16:15:07   ,34.81323603   ,32.16870993   ,39.0   ,hilda,00:02:6f:eb:a0:f4,11,-91,HUAWEI-C7FB,48:db:50:34:c7:fb,1,-88,DIRECT-35-HP DeskJet 3830 series,98:e7:f4:c6:4b:37,6,-83,Robert1,3c:1e:04:03:7f:17,1,-77
2017-10-27 16:15:37   ,34.81237006   ,32.16881033   ,35.0   ,Partner,42501_13111_496642,0,-113,Fuck Off Yourself,16:ae:db:c1:ae:55,9,-91,HOTBOX-D1D7,fc:b4:e6:cf:d1:dd,1,-88,May,14:cc:20:eb:cb:c6,1,-86,DIRECT-A5-HP DeskJet 4670 series,fc:3f:db:7e:60:a6,10,-79
2017-10-27 16:15:52   ,34.8109685   ,32.16874461   ,26.0   ,Partner,42501_13111_496642,0,-113,OP2,a0:63:91:69:f6:af,1,-91,Fuck Off Yourself,16:ae:db:c1:ae:55,9,-91,LRWN,0c:f4:d5:29:a2:9c,36,-91,HOTBOX-D1D7,fc:b4:e6:cf:d1:dd,1,-88,Shaul1,fc:b4:e6:1e:0a:78,11,-87,Lubelsky,c0:4a:00:ba:e8:f6,13,-86,May,14:cc:20:eb:cb:c6,1,-86,osnatg370,c0:ac:54:f5:7b:a7,11,-85,NGOGA,30:b5:c2:fe:aa:56,6,-85
2017-10-27 16:16:07   ,34.81039765   ,32.16828882   ,26.0   ,Levy,d8:fb:5e:f5:82:9a,10,-88,simon,e4:6f:13:73:0a:c2,8,-86,Oberyn Martell,18:d6:c7:fb:1c:0e,8,-84,BARON WIFI 2.4,60:e3:27:bf:a1:a5,11,-84,Rina,00:26:5a:77:8c:db,6,-83,GUYFI,c8:60:00:b1:d4:50,3,-83
2017-10-27 16:16:09   ,34.81029707   ,32.16808141   ,27.0   ,RS_GUEST,ec:08:6b:38:0d:dd,13,-89,888Free,06:8d:db:6e:71:13,1,-88,888Corp,0a:8d:db:6e:71:13,1,-83,kessel_2,90:ef:68:30:6b:69,5,-81
2017-10-27 16:16:26   ,34.8101175   ,32.167987   ,0.0   ,888Guest,02:8d:db:6e:71:be,11,-89,CEO-WiFi_2.4,c4:12:f5:80:24:0b,1,-87,888Free,06:8d:db:6e:71:6d,1,-87,888Guest,02:8d:cb:6e:71:bf,44,-87,888Corp,0a:8d:cb:6e:71:bf,44,-86,888Corp,0a:8d:db:6e:71:be,11,-86,Guest Neetwork MM,94:f6:65:1b:b2:28,5,-86,888Free,06:8d:cb:6e:71:bf,44,-86,888Corp,0a:8d:db:6e:71:6d,1,-85,lavel-2,74:da:38:ae:91:7b,2,-85
2017-10-27 16:16:29   ,34.80976155   ,32.16746622   ,13.0   ,Partner,42501_13111_496642,0,-113
2017-10-27 16:16:37   ,34.80978436   ,32.16754658   ,-1.0   ,null,06:8d:db:6e:71:be,11,-94,MOULY MAISON,00:78:9e:fa:15:91,1,-88
2017-10-27 16:16:41   ,34.80978999   ,32.1675522   ,1.0   ,null,06:8d:db:6e:71:be,11,-88
2017-10-27 16:16:45   ,34.80988155918773   ,32.16766121892341   ,39.018065819940986   ,BezeqFree,6a:12:f5:f9:5e:71,8,-96,HOTBOX-72B6,7c:03:4c:ba:bf:55,6,-94,tslila,c4:3d:c7:5a:79:1c,11,-93,LANDAU HOME,74:44:01:33:c7:56,1,-93,888Corp,0a:8d:cb:6e:71:6d,44,-93,DIRECT-A5-HP DeskJet 4670 series,fc:3f:db:7e:60:a6,10,-90,Ab,90:8d:78:54:d9:69,10,-90,888Corp,0a:8d:cb:6e:71:be,44,-90,888Corp,0a:8d:cb:6e:71:bf,44,-89,RS_GUEST,ec:08:6b:38:0d:dd,13,-88
2017-10-27 16:17:01   ,34.80992484668563   ,32.167671222901205   ,39.29407685136998   ,888Free,06:8d:db:6e:71:26,6,-96,888Corp,0a:8d:db:6e:71:26,6,-95,null,02:8d:db:6e:71:26,6,-95,Efrat Networks MM,94:f6:65:5b:b2:28,5,-94,KaymeraDev,cc:16:7e:97:1d:91,1,-93,888Guest,02:8d:cb:6e:71:bf,44,-90,888Free,06:8d:cb:6e:71:bf,44,-90,DIRECT-a8-HP M477 LaserJet,aa:6b:ad:04:c6:a8,6,-86,888Corp,0a:8d:db:6e:71:be,11,-81,888Free,06:8d:db:6e:71:bf,1,-81
2017-10-27 16:17:05   ,34.80979362   ,32.16755364   ,11.0   ,Shaked-Guest WiFi,b0:aa:77:f1:3a:68,11,-90
2017-10-27 16:17:17   ,34.80979445   ,32.16755398   ,4.0   ,iFOREX,f8:d1:11:b1:92:93,13,-92,888Free,06:8d:db:6e:71:26,6,-90
2017-10-27 16:17:29   ,34.80979461   ,32.16755202   ,5.0   ,888Corp,0a:8d:db:6e:71:6d,1,-80
2017-10-27 16:17:37   ,34.80979544   ,32.16755091   ,5.0   ,Guest Neetwork MM,94:f6:65:1b:b2:28,5,-81
2017-10-27 16:18:17   ,34.80980057   ,32.16755145   ,6.0   ,MOULY MAISON,00:78:9e:fa:15:91,1,-83
2017-10-27 16:18:22   ,34.80980159   ,32.16755113   ,7.0   ,KaymeraGuest,00:f6:63:15:58:82,1,-93,888Free,06:8d:db:6e:71:6d,1,-77,888Free,06:8d:db:6e:71:bf,1,-76
2017-10-27 16:18:37   ,34.80973813   ,32.16750025   ,7.0   ,RS_GUEST_5G,ec:08:6b:38:0d:dc,48,-90,888Free,06:8d:db:6e:71:c1,11,-85
2017-10-27 16:18:38   ,34.80970275770306   ,32.16752947325414   ,44.784206538209546   ,HP-Print-f3-LaserJet 300,64:27:37:77:d1:f3,6,-95,INGENEO,cc:b2:55:e8:4c:e6,6,-95,iFOREX,f8:d1:11:b1:92:93,13,-90,lavel-2,74:da:38:ae:91:7b,2,-90,Efrat Networks MM,94:f6:65:5b:b2:28,5,-89,888Free,06:8d:cb:6e:71:6d,44,-89,888Guest,02:8d:cb:6e:71:6d,44,-89,Guest Neetwork MM,94:f6:65:1b:b2:28,5,-89,lavel-2,74:da:39:b9:a7:bd,2,-87,888Free,06:8d:db:6e:71:c1,11,-84
2017-10-27 16:18:39   ,34.80965767   ,32.16743172   ,9.0   ,888Corp,0a:8d:cb:6e:71:c1,36,-91,888Guest,02:8d:db:6e:71:c1,11,-86,888Corp,0a:8d:db:6e:71:c1,11,-83,RS_GUEST,ec:08:6b:38:0d:dd,13,-79
2017-10-27 16:18:43   ,34.80937232   ,32.16723978   ,11.0   ,BARON WIFI 2.4,60:e3:27:bf:a1:a5,11,-85
